facts_account,,,,,
accountid,a__name,a__number,a__country,primary_contactid ,a__createddate
1,ABC Corporation,ABC123,United States,1,15/05/2023
2,XYZ Enterprises,XYZ456,Canada,2,20/06/2023
3,123 Industries,123789,United Kingdom,3,25/07/2023
4,123 Industries,123789,United Kingdom,3,25/07/2023
5,PQR Solutions,PQR123,India,4,15/11/2023
6,LMN Tech,LMN789,Japan,5,20/12/2023
7,XYZ Innovations,XYZ789,South Korea,6,25/01/2024
8,ABC Tech,ABC123,China,7,10/02/2024
9,EFG Innovations,EFG456,Singapore,8,15/03/2024
10,GHI Solutions,GHI789,Australia,9,20/04/2024
11,JKL Tech,JKL123,New Zealand,10,25/05/2024
12,MNO Innovations,MNO456,Taiwan,11,10/06/2024
13,RST Solutions,RST789,Philippines,12,15/07/2024
14,UVW Tech,UVW123,Thailand,13,20/08/2024
15,QRS Innovations,QRS456,Malaysia,14,25/09/2024
16,TUV Solutions,TUV789,Vietnam,15,10/10/2024
17,WXY Tech,WXY123,Indonesia,16,15/11/2024
18,ZAB Innovations,ZAB456,Myanmar,17,20/12/2024
19,CDE Tech,CDE789,Cambodia,18,25/01/2025
20,FGH Innovations,FGH123,Laos,19,10/02/2025
21,IJK Solutions,IJK456,Bangladesh,20,15/03/2025
22,LMN Tech,LMN789,Nepal,21,20/04/2025
23,OPQ Innovations,OPQ123,Pakistan,22,25/05/2025